Slope_Pct,Aspect,Tri_Index,Node_Index,TinNod.xyz
14.76105988,96.48307369,1605,806,"316110.22,2900048.82,196"
14.76105988,96.48307369,1605,356,"315810.22,2900048.82,240"
14.76105988,96.48307369,1605,7,"316110.22,2899748.82,191"
14.97034105,78.43986921,1085,806,"316110.22,2900048.82,196"
14.97034105,78.43986921,1085,356,"315810.22,2900048.82,240"
14.97034105,78.43986921,1085,546,"316110.22,2900348.82,187"
18.00308616,358.9390883,418,356,"315810.22,2900048.82,240"
18.00308616,358.9390883,418,546,"316110.22,2900348.82,187"
18.00308616,358.9390883,418,545,"315810.22,2900348.82,186"
1.054092553,198.4349488,1084,546,"316110.22,2900348.82,187"
1.054092553,198.4349488,1084,545,"315810.22,2900348.82,186"
1.054092553,198.4349488,1084,794,"315810.22,2900648.82,189"
1.490711985,63.43494882,1583,546,"316110.22,2900348.82,187"
1.490711985,63.43494882,1583,794,"315810.22,2900648.82,189"
1.490711985,63.43494882,1583,795,"316110.22,2900648.82,185"
7.78174502,170.1341931,1559,794,"315810.22,2900648.82,189"
7.78174502,170.1341931,1559,795,"316110.22,2900648.82,185"
7.78174502,170.1341931,1559,537,"316110.22,2900948.82,208"
8.013876853,163.0724869,1086,795,"316110.22,2900648.82,185"
8.013876853,163.0724869,1086,537,"316110.22,2900948.82,208"
8.013876853,163.0724869,1086,796,"316410.22,2900648.82,178"
8.013876853,106.9275131,1584,537,"316110.22,2900948.82,208"
8.013876853,106.9275131,1584,796,"316410.22,2900648.82,178"
8.013876853,106.9275131,1584,1009,"316410.22,2900948.82,185"
4.068851872,124.9920202,2012,796,"316410.22,2900648.82,178"
4.068851872,124.9920202,2012,1009,"316410.22,2900948.82,185"
4.068851872,124.9920202,2012,784,"316710.22,2900948.82,175"
12.04159458,318.3664607,2030,796,"316410.22,2900648.82,178"
12.04159458,318.3664607,2030,784,"316710.22,2900948.82,175"
12.04159458,318.3664607,2030,1018,"316710.22,2900648.82,202"
11.55181563,316.1691393,2047,796,"316410.22,2900648.82,178"
11.55181563,316.1691393,2047,1018,"316710.22,2900648.82,202"
11.55181563,316.1691393,2047,1027,"316410.22,2900348.82,203"
9.893881386,327.3807569,1606,546,"316110.22,2900348.82,187"
9.893881386,327.3807569,1606,796,"316410.22,2900648.82,178"
9.893881386,327.3807569,1606,1027,"316410.22,2900348.82,203"
5.897268671,132.70939,2409,1018,"316710.22,2900648.82,202"
5.897268671,132.70939,2409,1027,"316410.22,2900348.82,203"
5.897268671,132.70939,2409,1208,"316710.22,2900348.82,190"
5,216.8698976,727,1018,"316710.22,2900648.82,202"
5,216.8698976,727,1208,"316710.22,2900348.82,190"
5,216.8698976,727,1028,"317010.22,2900348.82,199"
